Date,Study,Surface,Does Virus persist on surface,Hydrophobic or Hydrophilic,Time of persistence
2020-04-04,"Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient (Journal of the American Medical Association) (Journal of the American Medical Association)",sodium dichloroisocynate,Effective,High-touch areas of patients rooms,5000 ppm
2020-04-04,"Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient (Journal of the American Medical Association) (Journal of the American Medical Association)",sodium dichloroisocynate,Effective,Floors,1000 ppm
2020-03-17,Efficient inactivation of SARS-CoV-2 by WHO-recommended hand rub formulations and alcohols (bioRxiv) (bioRxiv),"85 % ethanol (v/v), 0.725 % glycerol (v/v) and 0.125 % hydrogen peroxide (v/v)",Effective,Hands,40-80% ethanol
2020-03-17,Efficient inactivation of SARS-CoV-2 by WHO-recommended hand rub formulations and alcohols (bioRxiv) (bioRxiv),"75 % isopropanol (w/w), 0.725 % glycerol (v/v) and 0.125 % hydrogen peroxide (v/v)",Effective,Hands,30% isopropanol
2020-03-11,Coronavirus disease 2019 (covid-19): a guide for UK GPs (BMJ (British Medical Journal)) (BMJ (British Medical Journal)),Soaps,Effective,Hands,wash 20 seconds
2020-03-11,Coronavirus disease 2019 (covid-19): a guide for UK GPs (BMJ (British Medical Journal)) (BMJ (British Medical Journal)),Alcohol based hand rub,Effective,Hands,unspecified
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",ethyl alcohol,Effective,Medical Equipment,0.7
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",sodium hypochlorite,Effective,surfaces,0.5% (equivalent to 5000 ppm)
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",cetylpyridinium chloride,Effective,Toilet,unspecified
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",chlorine solution,Effective,Toilet,0.005
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",peracetic or peroxyacetic acid,Effective,Toilet,500−2000 mg/L
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",Soaps,Effective,Hands,unspecified
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",Alcohol based hand rub,Effective,Hands,unspecified
2020-03-03,"Water, sanitation, hygiene and waste management for the COVID-19 virus (WHO) (WHO)",chlorinated water,Effective,Hands,0.0005
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),sodium hypochlorite,Effective,unspecified,0.1%–0.5%
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),ethyl alcohol,Effective,unspecified,0.7
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),povidone-iodine,Effective,unspecified,1% iodine
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),chloroxylenol,Effective,unspecified,0.0024
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),isopropanol,Effective,unspecified,0.5
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),benzalkonium chloride,Effective,unspecified,0.0005
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),cresol soap,Effective,unspecified,0.01
2020-03-01,The outbreak of COVID-19 An overview (Journal of the Chinese Medical Association) (Journal of the Chinese Medical Association),hydrogen peroxide,Effective,unspecified,0.5%–7.0%
2020-02-09,Suggestions for disinfection of ophthalmic examination equipment and protection of ophthalmologist against 2019 novel coronavirus infection (Chinese Journal of Ophthalmology) (Chinese Journal of Ophthalmology),Heat at 56 degrees celcius,Effective,Opthalmic Examination instruments,unspecified
2020-02-09,Suggestions for disinfection of ophthalmic examination equipment and protection of ophthalmologist against 2019 novel coronavirus infection (Chinese Journal of Ophthalmology) (Chinese Journal of Ophthalmology),Ether,Effective,Opthalmic Examination instruments,unspecified
2020-02-09,Suggestions for disinfection of ophthalmic examination equipment and protection of ophthalmologist against 2019 novel coronavirus infection (Chinese Journal of Ophthalmology) (Chinese Journal of Ophthalmology),Ethanol,Effective,Opthalmic Examination instruments,0.75
2020-02-09,Suggestions for disinfection of ophthalmic examination equipment and protection of ophthalmologist against 2019 novel coronavirus infection (Chinese Journal of Ophthalmology) (Chinese Journal of Ophthalmology),Chlorine-containing disinfectant,Effective,Opthalmic Examination instruments,unspecified
2020-02-09,Suggestions for disinfection of ophthalmic examination equipment and protection of ophthalmologist against 2019 novel coronavirus infection (Chinese Journal of Ophthalmology) (Chinese Journal of Ophthalmology),peracetic acid,Effective,Opthalmic Examination instruments,unspecified
2020-02-09,Suggestions for disinfection of ophthalmic examination equipment and protection of ophthalmologist against 2019 novel coronavirus infection (Chinese Journal of Ophthalmology) (Chinese Journal of Ophthalmology),chloroform,Effective,Opthalmic Examination instruments,unspecified
2020-02-09,Suggestions for disinfection of ophthalmic examination equipment and protection of ophthalmologist against 2019 novel coronavirus infection (Chinese Journal of Ophthalmology) (Chinese Journal of Ophthalmology),Chlorhexidine,Not Effective,Opthalmic Examination instruments,unspecified
